codigo,razon_social,country,es_banco
4120633,Instituição 04120633,BR,False
4138455,Instituição 04138455,BR,False
4146333,Instituição 04146333,BR,False
4152107,Instituição 04152107,BR,False
4158581,Instituição 04158581,BR,False
4174720,Instituição 04174720,BR,False
4181542,Instituição 04181542,BR,False
4184779,Banco Bradescard,BR,True
4223451,Instituição 04223451,BR,False
4230630,Instituição 04230630,BR,False
4237413,Instituição 04237413,BR,False
4243780,Instituição 04243780,BR,False
4247370,Instituição 04247370,BR,False
4249235,Instituição 04249235,BR,False
4257795,Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.,BR,False
4261151,Instituição 04261151,BR,False
4281182,Instituição 04281182,BR,False
4306351,Independência Cooperativa de Crédito e Investimento - Independência Cooperativa de Crédito,BR,False
4307598,Fidúcia Sociedade de Crédito Ao Microempreendedor e À Empresa de Pequeno Porte Limitada.,BR,False
4316357,Instituição 04316357,BR,False
4321309,Instituição 04321309,BR,False
4323351,Instituição 04323351,BR,False
4332281,Goldman Sachs do Brasil,BR,True
4350225,Instituição 04350225,BR,False
4355489,Instituição 04355489,BR,False
4379829,Instituição 04379829,BR,False
4388688,Instituição 04388688,BR,False
4406371,Instituição 04406371,BR,False
4414354,Instituição 04414354,BR,False
4445917,Instituição 04445917,BR,False
4452473,Instituição 04452473,BR,False
4463602,Instituição 04463602,BR,False
4478231,Instituição 04478231,BR,False
4484490,Instituição 04484490,BR,False
4490531,Instituição 04490531,BR,False
4525997,Instituição 04525997,BR,False
4529074,Instituição 04529074,BR,False
4546162,Cooperativa de Crédito Mútuo de Servidores Públicos do Estado de São Paulo - Credifisco,BR,False
4565791,Instituição 04565791,BR,False
4572960,Instituição 04572960,BR,False
4608925,Instituição 04608925,BR,False
4622657,Instituição 04622657,BR,False
4632856,Credisis - Central de Cooperativas de Crédito,BR,False
4649337,Instituição 04649337,BR,False
4663561,Instituição 04663561,BR,False
4670195,Instituição 04670195,BR,False
4684647,Instituição 04684647,BR,False
4694278,Instituição 04694278,BR,False
4715685,Cooperativa de Crédito Mútuo dos Despachantes de Trânsito de Santa Catarina e Rio Grande do Sul - Sicoob Creditran,BR,False
4740876,Instituição 04740876,BR,False
4751713,Instituição 04751713,BR,False
4772908,Instituição 04772908,BR,False
4791645,Instituição 04791645,BR,False
4804353,Instituição 04804353,BR,False
4814563,Banco Afinz,BR,True
4831810,Cooperativa de Economia e Crédito Mútuo dos Servidores Públicos de Pinhão - Creserv Credisis,BR,False
4833655,Instituição 04833655,BR,False
4836002,Instituição 04836002,BR,False
4848115,Instituição 04848115,BR,False
4849745,Hbi Sociedade de Crédito Direto,BR,False
4853988,Instituição 04853988,BR,False
4862600,Portoseg S.A. - Credito Financiamento e Investimento,BR,False
4866275,Banco Inbursa,BR,True
4876393,Instituição 04876393,BR,False
4886317,Instituição 04886317,BR,False
4891850,Instituição 04891850,BR,False
4894460,Instituição 04894460,BR,False
4899135,Instituição 04899135,BR,False
4902979,Banco da Amazônia,BR,True
4913129,Confidence Sociedade Corretora de Cambio,BR,False
4913711,Banco do Estado do Pará,BR,True
4962772,Instituição 04962772,BR,False
4985665,Instituição 04985665,BR,False
4995006,Instituição 04995006,BR,False
4998845,Instituição 04998845,BR,False
5036532,Instituição 05036532,BR,False
5040481,Instituição 05040481,BR,False
5040680,Instituição 05040680,BR,False
5048575,Instituição 05048575,BR,False
5070112,Instituição 05070112,BR,False
5076239,Instituição 05076239,BR,False
5097757,Instituição 05097757,BR,False
5158093,Instituição 05158093,BR,False
5192316,Via Certa Financiadora S.A. - Crédito Financiamento e Investimentos,BR,False
5203605,Instituição 05203605,BR,False
5211129,Instituição 05211129,BR,False
5220232,Instituição 05220232,BR,False
5220243,Instituição 05220243,BR,False
5222094,Instituição 05222094,BR,False
5231945,Instituição 05231945,BR,False
5241145,Instituição 05241145,BR,False
5241619,Instituição 05241619,BR,False
5247312,Instituição 05247312,BR,False
5269976,Instituição 05269976,BR,False
5276770,Instituição 05276770,BR,False
5277312,Instituição 05277312,BR,False
5289612,Instituição 05289612,BR,False
5292849,Instituição 05292849,BR,False
5296712,Instituição 05296712,BR,False
5331882,Instituição 05331882,BR,False
5351887,Zema Crédito Financiamento e Investimento,BR,False
5389174,Instituição 05389174,BR,False
