Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO - PRUDENCIAL;00010045;00080075;b1;2;8;OSASCO;SP;03/2026;66.807.271;50.785.180;58.802;66.177.428;63.467.369;629.843;3.838;2;5
BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL - PRUDENCIAL;00041856;00080312;b1;3;8;SAO PAULO;SP;03/2026;65.121.927;18.019.523;28.892.611;57.974.335;49.444.712;7.147.592;230.210;13;0
BANCO DA AMAZONIA S.A.;4902979;BCO DA AMAZONIA S.A. - PRUDENCIAL;;00081249;b1;1;2;BELEM;PA;03/2026;64.644.431;39.703.382;18.300.687;57.461.600;14.847.607;7.182.831;47.537;115;0
BANCO VOLKSWAGEN S.A.;59109165;VOLKSWAGEN - PRUDENCIAL;;00080202;b2;3;8;SAO PAULO;SP;03/2026;58.293.902;48.315.779;678.855;53.045.795;44.890.036;5.248.107;-111.882;2;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;;00081555;b1;3;8;SAO PAULO;SP;03/2026;56.389.105;38.503.225;7.480.571;50.726.092;46.097.897;5.663.013;110.640;19;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS - PRUDENCIAL;;00080673;b1;3;8;SAO PAULO;SP;03/2026;56.162.606;6.481.689;20.346.226;51.478.513;33.090.728;4.684.092;59.703;2;0
BANCO C6 CONSIGNADO S.A.;61348538;BANCO C6 - PRUDENCIAL;00052072;00084844;b1;2;8;SAO PAULO;SP;03/2026;53.646.580;41.724.016;7.225.578;49.909.383;37.196.543;3.737.198;304.307;2;0
BANCO BMG S.A.;61186680;BMG - PRUDENCIAL;00030290;00080178;b1;2;8;SAO PAULO;SP;03/2026;51.407.209;21.521.202;14.663.003;47.166.339;37.167.588;4.240.870;147.090;27;2
BANCO AGIBANK S.A.;10664513;AGIBANK - PRUDENCIAL;00051956;00083694;b1;3;2;CAMPINAS;SP;03/2026;50.640.099;33.197.599;9.810.807;47.233.946;34.193.146;3.406.153;142.071;2;291
BANCOSEGURO S.A.;10264663;PAGSEGURO - PRUDENCIAL;00052182;00084813;b1;2;8;SAO PAULO;SP;03/2026;50.374.589;45.931.485;251.241;48.981.792;48.711.451;1.392.797;36.896;2;0
BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;62073200;BOFA MERRILL LYNCH - PRUDENCIAL;00051255;00080556;b1;3;8;SAO PAULO;SP;03/2026;46.234.202;2.251.940;12.408.655;39.676.113;27.244.150;6.558.089;263.407;2;0
PICPAY BANK - BANCO MÚLTIPLO S.A;9516419;PICPAY - PRUDENCIAL;00052632;00088022;b1;2;8;SAO PAULO;SP;03/2026;43.693.281;25.479.719;9.772.167;41.157.194;31.523.699;2.536.087;4.729;2;0
BANCO CLASSICO S.A.;31597552;BCO CLASSICO S.A. - PRUDENCIAL;;00081665;b1;2;8;RIO DE JANEIRO;RJ;03/2026;43.622.945;0;37.925.904;20.217.299;5.227.665;23.405.646;-1.162;2;0
BANCO MERCANTIL DO BRASIL S.A.;17184037;MERCANTIL DO BRASIL - PRUDENCIAL;00020152;00080123;b1;2;8;BELO HORIZONTE;MG;03/2026;40.512.154;23.365.437;4.086.702;37.527.371;30.074.868;2.984.783;273.100;3;298
