Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
SCANIA - PRUDENCIAL;1000080776;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;03/2026;15.098.253;14.138.498;3.384;13.394.179;13.053.207;1.704.073;-5.931;1.688.914;12,93%;0,90%;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79342069;b3S;S3;I;2;MARINGA;PR;03/2026;14.734.907;8.968.643;4.390.873;13.346.247;8.204.196;1.388.660;20.242;1.562.678;15,31%;22,26%;0;114
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;03/2026;14.662.268;8.490.806;4.331.060;12.209.043;11.031.129;2.453.225;42.251;2.185.829;22,05%;0,93%;2;0
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;03/2026;14.319.931;124.827;3.790.577;13.625.633;373.929;694.298;9.173;505.793;15,68%;4,04%;0;0
BCO INBURSA S.A. - PRUDENCIAL;1000081335;b1;S4;I;3;SAO PAULO;SP;03/2026;13.938.457;12.846.593;769.765;12.534.879;12.471.964;1.403.577;8.623;1.405.952;13,46%;0,06%;2;1
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;03/2026;13.889.840;5.437.305;3.438.550;12.898.081;11.578.752;991.758;30.564;944.825;13,31%;12,51%;66;7
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S3;I;2;BLUMENAU;SC;03/2026;13.850.321;805.541;9.598.082;12.876.992;2.505.345;973.329;0;532.095;36,07%;6,60%;0;0
COOPERATIVA DE CRÉDITO CONEXÃO - SICOOB CONEXÃO;32430233;b3S;S5;I;2;LINHARES;ES;03/2026;13.652.938;8.277.429;1.091.369;11.002.983;9.303.019;2.649.955;185.662;2.485.677;24,07%;2,91%;0;47
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S3;I;2;LUCAS DO RIO VERDE;MT;03/2026;13.601.422;8.105.163;4.583.786;11.518.423;6.361.003;2.083.000;86.038;2.105.057;18,37%;7,15%;0;40
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S3;I;2;SERTAOZINHO;SP;03/2026;13.588.072;7.657.881;412.029;11.710.104;10.981.880;1.877.968;24.561;1.805.818;18,76%;5,32%;0;43
